Date;JPM
15/11/2010;32.432026
16/11/2010;32.05172
17/11/2010;31.703777
18/11/2010;32.092178
19/11/2010;31.889874
22/11/2010;31.161617
23/11/2010;30.449543
24/11/2010;30.878391
26/11/2010;30.344339
29/11/2010;30.676109
30/11/2010;30.263426
01/12/2010;30.870317
02/12/2010;31.808958
03/12/2010;32.05172
06/12/2010;32.286377
07/12/2010;31.760418
08/12/2010;32.577686
09/12/2010;33.022743
10/12/2010;33.524429
13/12/2010;33.589165
14/12/2010;33.00655
15/12/2010;32.537235
16/12/2010;32.375385
17/12/2010;32.100269
20/12/2010;32.326839
21/12/2010;33.176491
22/12/2010;34.115128
23/12/2010;34.050392
27/12/2010;34.527824
28/12/2010;34.479263
29/12/2010;34.27697
30/12/2010;34.171776
31/12/2010;34.325516
03/01/2011;35.264172
04/01/2011;35.77454
05/01/2011;36.212002
06/01/2011;36.033779
07/01/2011;35.353275
10/01/2011;35.158855
11/01/2011;35.320885
12/01/2011;36.220108
13/01/2011;36.00948
14/01/2011;36.382122
18/01/2011;36.252506
19/01/2011;35.409996
20/01/2011;36.252506
21/01/2011;36.689968
24/01/2011;36.471245
25/01/2011;36.34972
26/01/2011;36.438843
27/01/2011;36.536041
28/01/2011;36.082382
31/01/2011;36.406422
01/02/2011;37.208447
02/02/2011;36.819588
03/02/2011;36.82769
04/02/2011;36.122887
07/02/2011;36.860088
08/02/2011;37.054523
09/02/2011;36.544155
10/02/2011;36.884396
11/02/2011;37.726906
14/02/2011;37.702614
15/02/2011;37.929436
16/02/2011;38.836777
17/02/2011;38.739548
18/02/2011;38.885372
22/02/2011;37.273251
23/02/2011;37.232746
24/02/2011;37.192238
25/02/2011;37.816025
28/02/2011;37.824123
01/03/2011;36.941101
02/03/2011;36.62516
03/03/2011;37.32996
04/03/2011;36.876289
07/03/2011;36.608952
08/03/2011;37.589199
09/03/2011;37.718815
10/03/2011;36.884396
11/03/2011;37.054523
14/03/2011;36.698074
15/03/2011;36.139091
16/03/2011;35.491001
17/03/2011;36.098598
18/03/2011;37.054523
21/03/2011;36.965412
22/03/2011;36.835804
23/03/2011;36.941101
24/03/2011;37.04641
25/03/2011;37.15173
28/03/2011;37.232746
29/03/2011;37.281342
30/03/2011;37.6297
31/03/2011;37.346161
01/04/2011;37.548683
04/04/2011;37.744171
05/04/2011;37.939648
06/04/2011;38.803024
07/04/2011;38.607544
08/04/2011;38.151424
11/04/2011;38.167717
12/04/2011;37.988518
13/04/2011;37.670868
14/04/2011;36.6283
15/04/2011;36.563137
18/04/2011;35.805637
19/04/2011;36.367653
20/04/2011;36.294361
21/04/2011;36.39209
25/04/2011;36.335079
26/04/2011;36.750465
27/04/2011;37.059982
28/04/2011;37.345051
29/04/2011;37.165874
02/05/2011;36.799343
03/05/2011;37.402073
04/05/2011;37.059982
05/05/2011;36.791195
06/05/2011;36.685318
09/05/2011;36.620155
10/05/2011;36.783051
11/05/2011;36.025543
12/05/2011;35.911537
13/05/2011;35.145897
16/05/2011;34.925976
17/05/2011;35.683464
18/05/2011;35.903385
19/05/2011;35.838223
20/05/2011;35.129608
23/05/2011;34.657192
24/05/2011;34.486145
25/05/2011;34.429131
26/05/2011;34.575745
27/05/2011;34.852676
31/05/2011;35.219204
01/06/2011;34.013733
02/06/2011;33.891563
03/06/2011;33.858967
06/06/2011;33.01189
07/06/2011;33.166641
08/06/2011;32.897858
09/06/2011;33.378414
10/06/2011;33.435432
13/06/2011;33.94043
14/06/2011;33.891563
15/06/2011;33.134071
16/06/2011;32.873432
17/06/2011;33.231819
20/06/2011;32.971172
21/06/2011;33.321411
22/06/2011;33.14222
23/06/2011;32.637215
24/06/2011;32.16481
27/06/2011;32.482468
28/06/2011;32.205536
29/06/2011;32.946739
30/06/2011;33.345833
01/07/2011;34.075203
05/07/2011;33.62447
06/07/2011;33.239307
07/07/2011;33.862133
08/07/2011;33.386822
11/07/2011;32.313263
12/07/2011;32.280472
13/07/2011;32.468971
14/07/2011;33.067204
15/07/2011;32.763981
18/07/2011;32.641075
19/07/2011;33.099987
20/07/2011;33.567101
21/07/2011;34.657059
22/07/2011;34.575108
25/07/2011;34.165352
26/07/2011;33.960476
27/07/2011;33.329445
28/07/2011;33.337635
29/07/2011;33.149147
01/08/2011;33.140965
02/08/2011;32.649258
03/08/2011;32.698421
04/08/2011;31.075798
05/08/2011;30.813545
08/08/2011;27.912493
09/08/2011;29.830143
10/08/2011;28.166534
11/08/2011;30.067802
12/08/2011;29.428587
15/08/2011;30.223503
16/08/2011;29.526928
17/08/2011;29.96946
18/08/2011;28.838541
19/08/2011;28.150154
22/08/2011;27.37981
23/08/2011;28.502535
